user_id,subscription_duration,recent_login_time,average_login_time,average_time_per_learning_session,monthly_active_learning_days,total_completed_courses,recent_learning_achievement,abandoned_learning_sessions,community_engagement_level,preferred_difficulty_level,subscription_type,customer_inquiry_history,payment_pattern,target
c8d9c81f,6,16,14.57167613,5.838557375,23,21,73.92174454,1,5,Low,Basic,4,0,1
677de4b6,14,26,20.14017615,161.1248399,22,10,60.00725577,2,5,Low,Premium,1,6,0
c85a61b6,9,23,14.62514426,128.5988932,19,16,76.96877724,0,2,Low,Basic,4,4,0
3b6f7275,10,15,10.89685183,114.0230804,1,14,63.09656292,3,5,High,Premium,3,1,1
795600b8,21,1,10.48653205,77.62306203,1,11,89.25484501,1,1,Medium,Basic,2,0,1
69d99a48,20,25,16.4431624,21.31841058,2,15,85.92767121,4,5,Low,Premium,4,3,1
fc660a6e,17,29,20.36416736,14.93105363,1,6,44.7279968,1,3,High,Basic,1,6,1
9c9e76a1,20,5,13.83949535,6.181276164,3,13,94.27165218,3,3,Low,Basic,0,3,1
11c0c39b,6,17,11.79644495,280.5523674,17,15,80.82695848,1,4,Low,Premium,0,3,1
a9b123fd,16,10,16.72524941,17.03836792,10,16,84.96577873,2,3,Low,Basic,3,1,1
5847745f,16,4,15.98398499,3.781315119,5,13,70.92456706,6,4,Medium,Premium,1,5,0
8211b1ee,1,19,7.399941343,24.74490868,17,9,79.61184579,3,5,High,Basic,3,1,1
bf01ae24,19,5,11.5541462,25.319576,1,11,85.40746075,1,3,Low,Basic,1,0,1
4d9a077d,4,24,23.30150004,2.824487155,15,13,66.1398775,5,3,Low,Basic,3,0,1
bbb66f6b,18,24,16.24614393,16.62347291,5,9,83.65759943,3,1,High,Basic,1,6,1
e5ab9eae,20,23,17.67226685,173.1534714,22,7,73.40419204,4,4,Medium,Basic,1,5,1
34075328,20,19,11.46987666,41.71828456,18,9,79.46495753,3,5,Low,Basic,5,2,1
4d0d40b3,20,26,12.08470939,106.7132883,17,7,70.03339056,4,5,Low,Basic,2,4,1
5ae7bf2c,15,9,17.60566308,50.14491113,15,8,104.1572372,2,3,Medium,Basic,2,0,0
32f5cd3e,8,29,18.34191814,31.05945439,10,11,68.1625299,6,3,High,Basic,0,4,1
33319bcd,1,14,10.24754972,3.882770942,14,11,72.98871796,3,2,Low,Basic,3,5,1
47a3ea64,2,16,16.1390127,1.182342547,1,7,75.06996088,1,5,High,Basic,1,6,1
ad242ba1,10,19,15.42039518,53.38418109,7,11,64.20728776,1,1,Medium,Basic,5,0,1
561313bc,1,9,15.68252445,55.61065409,14,13,54.53896551,1,2,Low,Basic,1,1,1
08c55fa8,11,20,14.45035202,210.6264731,19,16,72.23678439,1,3,Low,Basic,0,0,1
0fe59afd,21,28,18.28973448,2.921133659,19,2,73.90218596,5,3,High,Basic,1,0,0
7572ac67,4,29,15.27905668,18.66399749,21,11,72.6230308,1,5,High,Basic,5,5,1
5838d23e,12,4,13.75014138,21.62483393,21,8,83.77094126,3,3,Low,Basic,1,0,0
e307aa2f,19,1,15.2119982,9.640432284,3,12,65.62267338,2,5,Medium,Basic,1,6,1
3b66e70c,3,18,16.26086995,3.185703278,14,3,81.4654838,3,4,High,Basic,0,6,0
c3ad6bfd,1,14,20.71976552,65.27701569,19,12,90.60015925,2,5,Low,Basic,8,4,0
08fdd75e,1,16,16.23619466,16.67240058,10,7,79.52625423,3,1,Medium,Basic,3,0,1
dd7d5628,5,14,12.34630143,117.8068257,1,9,66.84901958,3,2,High,Basic,1,2,0
13c9c942,22,10,12.72893812,106.1264394,5,17,75.27937165,5,4,Low,Premium,2,1,1
62aac11b,6,13,14.25544665,6.696516333,20,12,68.01811724,3,2,High,Basic,4,2,0
d25f49f6,7,9,14.60622109,46.65870316,5,7,66.24704564,3,2,Medium,Basic,2,3,1
d75c5c11,9,27,19.39287954,183.4709159,24,12,42.87024809,4,5,Medium,Premium,1,4,1
1650d00f,21,20,18.91096813,11.57061462,17,11,68.86592988,5,4,Medium,Basic,5,5,1
ec4dea95,18,5,12.9213006,62.67871132,22,14,59.84370427,3,4,Medium,Premium,1,6,1
865e9d40,16,14,13.64860442,8.881600008,5,11,79.35248229,3,4,Low,Basic,1,5,1
2e3fe5f0,5,12,12.68626908,8.88618878,4,13,76.55104988,2,5,Medium,Premium,1,2,0
567f5265,10,26,18.67139075,88.13898722,9,9,62.36469376,4,5,Low,Basic,1,3,0
112c68d7,11,9,16.3658668,33.4843587,18,11,94.35497713,1,5,High,Premium,1,1,1
ad74febd,2,1,16.25194578,43.4798452,2,13,68.7124796,3,5,Low,Premium,0,4,1
30c8e0f9,2,11,12.24354671,1.710161789,8,8,80.07917791,4,4,Medium,Basic,0,4,1
88d03ad9,8,25,10.46123451,33.24039478,16,12,53.99805929,2,5,Low,Premium,1,1,1
64a5481a,10,6,13.29482847,62.83278167,19,7,78.90024787,2,5,Low,Basic,2,1,0
3105a827,4,1,10.24813006,4.502375254,18,11,80.51372607,5,5,Low,Premium,1,1,1
e1b0bcb9,7,14,10.62311207,39.85539037,8,11,69.00075829,3,2,Medium,Basic,2,7,1
296f3a2c,12,24,15.41161766,183.9429297,6,12,67.10065505,4,3,Low,Basic,5,1,1
6f530a47,15,11,18.73560776,73.12772819,19,10,67.81889133,4,3,Low,Basic,0,2,1
40d3fca0,19,28,14.10577131,5.33959998,7,11,76.94089452,2,4,High,Premium,4,3,1
bb02e8db,1,29,15.91476223,83.40973213,6,12,81.1382509,4,5,Medium,Premium,1,5,1
92c0d9c0,15,5,13.51552106,63.3618389,14,11,70.26177243,3,5,Medium,Basic,1,4,1
24308c48,4,16,17.65023088,39.87960086,22,10,83.97638875,3,5,Low,Premium,0,5,1
98fdef72,22,19,14.97321883,16.43872669,15,16,66.3764302,5,5,Low,Premium,4,3,1
5b2d2885,13,22,20.4872632,17.68206837,24,11,82.6578287,4,3,Low,Basic,1,5,1
57bfc503,11,6,20.0755374,71.43367592,2,14,74.38892633,3,4,Low,Basic,3,4,0
23cf2690,21,1,18.51564617,25.31098009,24,12,86.35591397,2,5,Low,Basic,0,0,1
b7802e40,12,18,16.74372763,39.90412954,9,14,89.76170977,1,4,Low,Basic,2,6,1
3c9208b9,5,25,15.56386365,97.23453039,10,13,64.44875313,3,5,High,Basic,3,7,1
99bc71cb,7,10,17.25554874,21.23956896,14,7,67.75294208,3,3,Medium,Basic,2,7,1
419a498e,5,19,20.35100475,44.42088486,23,9,55.18651587,1,4,Medium,Basic,0,3,1
755400d0,16,25,17.26687409,37.97544922,8,13,44.3591117,2,5,Low,Basic,4,0,1
0637e375,21,20,13.44168753,5.263718836,11,9,76.66340527,1,5,Medium,Basic,1,7,0
35a6e2f5,4,17,14.05619976,6.158799013,17,10,75.12456913,7,5,Low,Premium,0,7,0
8ab1b628,13,1,9.518813356,12.14918168,12,14,72.37154823,3,2,Low,Basic,2,0,1
79bd69f9,5,7,16.0890067,6.353139256,12,7,83.94340118,4,4,High,Basic,1,3,0
d2988c42,21,10,7.810087667,32.34465595,1,14,72.53006362,3,4,Low,Premium,2,0,1
0829d342,9,27,10.66963636,12.5474999,11,11,55.5921848,4,5,Low,Basic,5,3,0
0d9258de,15,13,15.34567926,91.89953149,21,15,52.81129294,1,4,Low,Premium,2,0,1
724d2d95,16,27,15.00103493,16.46384936,12,10,79.38147436,3,4,Low,Premium,2,4,1
8c5c320c,21,12,11.75072751,101.8037916,20,8,76.33245963,3,4,High,Basic,0,1,0
ce3049e5,4,26,20.62287357,41.65000333,14,11,57.84855766,3,4,Medium,Premium,1,5,0
e65bd02c,16,23,16.03202833,20.62732167,16,16,64.61805872,7,4,Low,Basic,3,6,0
669d81a0,14,13,9.869346948,37.76363967,22,14,94.93931682,2,3,High,Premium,0,6,1
3c3496a0,22,3,13.06607547,14.35653917,24,15,83.08549489,5,2,High,Basic,0,0,0
410fe8e0,22,2,14.78171701,24.39498965,8,9,63.26155365,6,5,High,Basic,0,6,1
c6ea3ffe,17,2,16.93586173,16.78477718,15,16,85.87262209,2,5,Medium,Premium,2,0,1
b01cebad,18,13,15.61821807,127.2606953,24,15,73.14649665,2,3,Low,Basic,2,3,1
d26c801d,6,23,13.43014754,0.215706192,24,9,63.85446964,4,5,Low,Basic,2,3,0
4e405dfa,10,3,15.65781863,38.99681911,24,11,79.16836749,1,3,Medium,Premium,2,3,1
1f65d311,4,29,12.84705035,37.14631532,8,11,85.86987537,4,4,High,Basic,3,5,1
94789a43,1,22,12.29435525,41.92055212,20,13,58.26562281,2,5,Low,Basic,1,2,1
565504c1,6,11,15.36364473,1.810162188,5,19,64.93057975,4,5,High,Premium,2,3,0
aeaa4bc4,1,3,16.13159254,41.62556593,7,5,89.22644717,3,4,Medium,Basic,5,6,1
f4bde835,18,29,17.07909335,19.05321179,12,8,88.04438723,1,5,High,Basic,0,7,1
e2da519f,19,11,15.75142802,36.24405516,11,13,62.24694268,5,2,Medium,Basic,2,7,1
dcfaeb3c,5,2,17.85819461,11.0142867,6,9,77.28936837,7,2,Low,Basic,1,5,0
8455c1df,3,17,16.05096034,18.07941512,5,11,71.16358366,4,2,Low,Basic,1,3,0
538a405e,17,8,17.01562124,19.31434806,5,17,75.97801602,4,5,Low,Premium,0,5,1
feafc93b,4,16,10.38747225,104.5256747,16,18,77.81971237,3,5,Low,Basic,2,6,1
f644ae80,3,29,14.32831984,20.62304711,21,12,73.23567578,5,4,Medium,Basic,4,7,1
2daf2015,11,29,10.13308763,9.161233505,12,13,83.37845679,2,3,Low,Basic,3,7,1
b844829f,14,11,15.53830792,20.45937855,18,12,77.23602747,2,3,Low,Basic,3,3,0
09b81ffc,17,7,13.39178877,46.16535787,1,12,72.29850139,3,2,Medium,Basic,1,4,1
8258b486,8,25,11.5512121,45.21051281,17,15,81.95019791,5,4,Low,Basic,0,1,1
7ac987d7,22,4,18.80196374,0.687711374,22,14,74.92261967,3,2,Low,Basic,2,7,0
298eec5f,10,24,13.93696083,55.12597835,7,9,63.02973986,4,2,High,Basic,3,7,0
f7be8be7,1,4,15.45810646,26.99690696,20,8,71.26550743,0,1,Medium,Basic,2,4,0
f9761446,11,18,11.66177649,180.2678732,5,13,95.4705546,3,5,Medium,Premium,4,5,1
8bc1cb9f,19,13,12.23360121,118.6766101,7,5,70.34860942,2,5,Medium,Basic,2,0,0
04814fe0,12,29,12.56657325,31.84055423,1,8,84.54859903,0,4,High,Basic,2,5,0
75f2615c,3,4,14.03383442,14.04334716,20,11,72.7696962,6,5,Medium,Basic,3,2,1
8ab2e671,3,9,12.48722711,59.20217097,2,14,66.9804159,3,4,Low,Premium,5,1,1
c253cf12,4,29,15.32787355,46.05441163,19,13,78.95739231,4,4,Medium,Premium,3,5,1
8b018ded,4,24,16.90474746,16.36809144,21,9,62.77882,2,5,High,Basic,2,5,1
97e8a010,19,4,20.82124143,146.2268144,7,15,79.07257344,4,5,Low,Premium,0,1,1
9bfb8c27,15,23,13.08260792,90.86080941,22,13,78.88081451,3,4,Medium,Premium,0,1,0
b07dfe87,4,1,14.43895336,7.830156779,1,8,68.55868777,2,2,Low,Basic,1,2,1
fd19209f,21,24,14.96944984,185.6602259,10,13,81.17458434,7,2,Low,Basic,1,6,1
568172c0,18,3,15.2064422,16.4987947,19,12,85.84615684,4,5,Medium,Premium,2,3,0
433c4632,19,14,13.09687253,108.0578858,18,10,81.07699075,4,2,Low,Basic,2,1,0
aa13032b,15,26,16.28481302,2.332846896,3,10,88.7217597,3,4,Low,Basic,2,7,1
eead9760,10,21,18.2347499,113.6449671,22,12,74.25049863,1,5,Low,Premium,1,1,1
ad997c1e,2,1,15.23090298,0.08331436,16,9,85.49458418,2,4,High,Basic,2,1,1
c9a29772,5,20,13.75028209,21.82485703,18,12,76.59140928,3,3,Low,Basic,1,0,0
dc10b8c1,11,8,14.11408286,128.021867,17,7,87.14648424,1,1,Medium,Basic,3,1,1
6ef30b9c,23,8,15.11232453,74.66039199,4,12,87.34485676,3,1,High,Basic,1,2,1
c3f6a880,12,17,17.591094,17.84097075,15,11,76.54946013,8,5,Low,Premium,2,0,0
543bc8e4,9,29,12.90320482,86.72575331,6,11,84.44183876,4,5,High,Premium,5,6,1
05af8fd2,12,23,18.10497371,69.99619025,15,19,83.79621153,1,5,Low,Premium,2,6,1
848dce92,3,29,14.23006073,14.46198136,8,10,69.74794406,3,5,Low,Basic,3,1,1
5ad41276,20,12,24.96267863,4.850877567,7,2,86.34331637,5,5,Medium,Basic,2,5,0
1cd07c4b,17,15,12.52054756,49.82474341,23,12,64.23548946,2,5,Low,Basic,0,0,1
f7ffb1a9,1,19,17.83502464,14.58287837,8,15,77.32406977,4,5,Low,Premium,2,1,0
3b6216af,23,28,14.26152218,30.85508964,8,14,73.22232408,1,5,Low,Premium,2,3,0
4acd4537,1,10,12.11320449,21.39893142,10,12,63.45402275,3,5,High,Premium,1,3,0
db1ea504,7,13,12.29818209,53.70043513,20,11,82.99583395,5,5,Low,Basic,1,7,1
f16abd7a,20,22,15.26702087,9.636096499,19,10,85.01214675,2,5,Medium,Basic,4,5,1
1661563c,15,16,11.94953014,171.6845106,23,13,75.06140753,3,2,Low,Basic,3,3,1
85a857dc,11,6,12.45710316,140.7064424,14,14,71.43614395,3,4,Low,Basic,3,4,1
36acd4c2,20,23,11.48525901,62.30636392,5,12,72.42260465,2,2,Low,Basic,1,7,0
1b9388b1,9,2,16.41054626,127.1071678,7,11,82.51584206,6,5,Medium,Premium,2,1,0
734ef1e2,14,5,15.85368991,101.2909466,22,18,86.2204196,3,5,Low,Premium,2,0,1
f05d06b4,3,16,16.22359187,22.45853524,21,14,85.44550803,3,1,Medium,Basic,2,3,1
feffed52,4,21,14.12461119,8.320261484,9,14,65.83188711,3,5,Low,Premium,1,1,1
22310401,3,24,14.22765888,69.09248009,21,12,81.53867366,1,4,Low,Premium,2,1,1
d391bf9e,12,6,15.54345403,0.305196824,11,13,89.1957493,0,2,Low,Basic,2,5,0
dade9242,14,20,14.05308086,106.6411488,14,9,85.49333192,2,4,Low,Basic,1,0,1
44d5cd61,17,2,15.55016707,80.31631548,1,8,61.80320752,2,5,Medium,Basic,0,0,1
f3b452f8,9,28,16.02402225,40.91315442,2,12,57.69899593,1,1,High,Basic,2,0,0
c5adc9f2,9,21,14.19842449,19.02216023,1,12,67.7570293,3,5,Low,Basic,3,3,1
395caadd,20,12,12.00878438,342.1597046,6,16,81.11273062,4,4,Low,Premium,5,4,1
87e0a0bb,9,14,11.82238087,43.36456155,8,18,64.9388784,5,4,Low,Premium,1,1,0
82dfa736,3,7,11.57543386,51.21249918,17,11,82.73237836,7,5,Low,Premium,3,0,1
0416b23b,21,24,11.91475778,63.66763769,6,13,80.76373208,3,2,Low,Basic,1,6,1
0a9f3af9,4,9,13.60763175,41.23159173,17,14,76.57907889,2,4,High,Premium,1,5,1
3ea2b92a,13,3,17.3689282,25.16758619,16,8,58.48265424,4,5,Medium,Basic,3,1,0
b5f2156c,15,27,20.13352291,42.3048221,15,8,82.78181979,3,5,Medium,Premium,3,7,1
b20ae5ca,1,3,11.5766129,18.15525396,19,8,63.86388376,0,5,Low,Basic,2,5,0
08781ac4,5,15,14.26011476,111.6579005,5,8,75.96896515,3,5,Low,Premium,2,4,1
fd3b92bd,4,16,12.41170582,92.87191493,13,15,86.72821616,1,3,Medium,Premium,2,4,1
03f61967,14,16,17.60937686,51.79377773,19,9,61.53042105,5,3,Low,Basic,4,4,1
e3b9aaf3,12,11,16.19243966,88.92545743,4,15,74.51904633,2,4,Low,Premium,4,4,0
e5c8cc5b,23,17,12.60100272,87.07978052,17,12,83.85933926,4,4,Medium,Basic,1,5,1
49bfae65,14,15,17.11622131,160.0996091,3,11,76.40412591,4,3,Low,Basic,2,1,0
e60a293b,14,11,13.92921143,68.58905397,18,16,79.78430488,2,5,Low,Premium,3,0,1
9a34d55e,12,25,15.01554512,54.54857713,3,16,88.34267272,2,5,Low,Premium,3,4,0
3135602e,17,16,23.26749928,23.56324727,17,14,62.46954429,2,4,Medium,Premium,3,7,1
585026b3,22,10,16.08393784,198.4676088,22,14,69.7315055,4,5,High,Premium,2,1,1
4e9b636d,15,21,15.21677708,92.56825257,14,10,82.87342862,3,5,Medium,Basic,2,5,1
cfded8cc,17,27,16.87965187,119.8735322,20,10,79.13017202,5,5,Medium,Basic,2,0,0
c9b722e3,23,7,17.1343721,9.746375208,10,14,76.78005844,3,5,High,Premium,2,2,0
9482e59e,22,19,18.5515789,84.28831662,16,14,71.73214159,3,3,Low,Basic,5,3,0
6afc9ef8,20,7,9.798360998,33.50364799,14,15,74.17373962,1,5,High,Premium,0,0,1
fece3b31,2,2,13.39543376,53.18539553,21,10,71.87620041,2,4,Low,Premium,0,0,0
a76717c0,9,25,9.275712807,1.463171315,21,14,65.40172285,3,4,Medium,Premium,1,7,1
6b949879,1,12,13.96556946,94.66439355,2,10,74.01205417,5,5,Low,Basic,5,5,1
22700776,5,18,16.22227124,52.87191662,11,14,82.42792104,4,4,Medium,Basic,4,7,0
16d5c7e7,7,28,17.61548327,123.5043155,18,14,67.92115137,5,5,High,Premium,5,3,0
c59cedec,22,24,14.85689673,274.4241836,8,19,79.1655668,4,5,Low,Premium,3,5,1
ee2403e6,14,11,12.68919281,46.86914565,7,15,88.54320916,3,5,Medium,Premium,2,6,1
3450fba3,8,12,13.01293804,124.2249751,11,15,79.05108129,3,4,Medium,Basic,1,7,1
db6fe1e9,16,19,13.5071929,82.45665843,20,13,66.15168641,4,3,High,Premium,4,2,1
a2e89777,10,21,16.14946174,82.87606244,17,7,72.71360284,4,3,Medium,Basic,2,2,0
dbe1afb0,19,21,16.727043,4.079307649,7,6,77.0702847,2,5,Medium,Premium,6,5,0
0461ac76,9,23,18.64311173,9.352148788,8,11,58.56093562,4,3,High,Basic,4,0,1
64571820,23,9,10.50880282,30.01545385,7,21,87.9550494,3,5,Low,Premium,2,3,0
7ba0a2c3,16,22,19.4778582,131.7307916,17,12,72.01225885,2,2,Low,Basic,1,5,1
5728328d,12,6,14.06963182,36.73795494,22,16,84.12517824,6,5,Low,Basic,2,2,1
9db5f7fd,7,15,15.79979776,125.4628663,23,11,96.81058812,2,4,Low,Basic,3,2,1
8d42cfab,16,29,18.98546361,38.72491348,6,9,77.29357656,1,5,High,Basic,3,4,0
8551d5f5,2,3,12.09771603,9.345022836,12,11,83.74917846,4,1,High,Basic,0,7,0
e1df556a,23,1,9.675232878,11.73272377,2,13,61.59652746,4,5,Low,Premium,1,0,1
9fc6da32,13,14,12.98260584,94.16629787,23,18,69.03011368,2,3,Medium,Premium,2,1,0
68722091,4,17,15.69054113,8.706743264,12,11,70.63336982,1,4,High,Premium,2,3,1
41e8f354,19,26,14.02806124,36.7467973,3,11,75.94570453,1,5,Low,Basic,2,4,0
61229677,16,28,16.52802566,20.18384693,20,19,91.73203402,2,5,Low,Premium,0,1,1
b66fcc6e,4,13,10.31703902,46.13820462,12,13,79.05129664,2,4,Medium,Premium,1,7,1
e40b0db3,11,19,19.85365595,51.43493447,3,6,70.83996344,4,5,Low,Basic,1,7,0
2d17df2b,13,23,17.79567745,13.01004044,13,10,84.37462647,3,5,Medium,Basic,0,2,1
0186739b,7,16,11.64880974,0.4115299,18,12,62.18970088,2,5,Low,Basic,5,2,0
11df9ef4,4,11,19.27122338,9.719434932,12,12,92.30444596,5,5,Medium,Premium,2,1,1
83bfc4eb,23,17,18.24093108,41.38834977,22,6,75.03009886,3,5,High,Basic,4,5,1
ca9f7706,6,4,15.87948122,40.86017336,9,12,79.86962268,4,3,Medium,Premium,3,7,0
921009dd,12,9,11.5085136,54.18170746,6,9,83.56316283,2,5,Low,Basic,3,6,1
c190b118,1,16,14.6241059,29.0137598,11,16,85.23170757,2,5,Low,Premium,3,6,1
47936750,12,29,14.55010196,13.78689253,18,4,78.62713555,5,2,Medium,Basic,1,2,0
36796869,9,19,11.98783832,5.181669097,10,8,77.39270739,3,4,High,Basic,2,0,0
eab5ef57,21,14,15.28639613,246.9001947,20,18,55.35604866,2,4,Low,Premium,5,7,1
4649881f,11,26,14.46272729,88.99981335,2,13,67.83891947,2,4,Low,Basic,0,2,1
6803bb75,23,27,21.51729642,230.37451,1,11,72.02590975,4,3,High,Premium,2,6,1
b7d58e39,12,14,14.99967492,82.20329536,7,11,77.32464478,5,5,Low,Premium,2,5,1
89e49ad2,6,25,12.67437813,40.12375651,20,10,71.5641585,4,4,Low,Basic,0,4,1
1d8d2253,16,13,16.26915006,85.99074544,21,13,68.08085572,4,4,Low,Premium,2,2,0
317e87a6,9,12,14.54406964,21.67458319,8,12,45.35772102,3,5,Medium,Premium,1,1,0
cd23dcac,3,25,11.40907884,50.03128741,19,9,79.6400246,3,3,Low,Basic,1,5,0
ce701f10,20,4,12.05832465,87.61287219,24,14,75.3117445,3,5,Low,Premium,0,7,1
cbc0c51c,22,7,14.29940965,85.97379077,17,15,73.59583489,9,5,Medium,Premium,2,1,1
02f716cd,20,3,13.91179468,12.01683493,6,17,70.61328345,1,5,Low,Premium,4,6,0
20f6eea1,15,9,15.71782209,54.19176352,9,14,79.08693527,2,4,Low,Premium,2,2,1
9827f98a,21,10,13.4538707,19.12381843,4,12,76.8244224,5,2,Medium,Basic,2,7,1
5b139984,22,13,16.69539161,12.19616936,6,15,82.12085447,5,5,Medium,Premium,1,7,0
fa5dce1d,4,9,17.87330078,48.63145269,6,9,68.2659742,3,2,Medium,Basic,2,0,1
a1c14c87,4,11,9.894107434,23.46315251,8,16,66.14156945,4,5,Medium,Premium,2,7,1
4721391b,8,18,12.3140851,0.873284746,24,17,78.4986818,6,3,High,Premium,1,6,1
c69dec43,10,10,17.90362335,38.14839115,14,17,90.66951346,3,4,Medium,Premium,1,3,1
e9b3b644,10,18,13.31056695,7.6867731,7,14,84.24124816,6,5,High,Premium,1,3,0
088d0baf,10,17,15.19579292,42.21581924,16,12,66.67595407,5,3,High,Premium,2,1,1
b154e450,4,1,15.13340444,59.66645696,23,3,86.1464847,2,2,High,Basic,0,2,0
ba1632dc,15,6,13.52025869,56.28068697,5,11,84.04134079,1,5,Low,Basic,1,1,0
48b5f02d,19,6,11.64112236,16.80853659,2,9,77.95651297,2,3,Low,Basic,1,3,1
33e4b537,13,10,14.37645983,100.4073066,13,17,64.51975327,3,5,Low,Premium,0,5,0
abce9494,4,6,18.38226193,23.02002823,24,13,103.6302101,1,3,Medium,Premium,1,4,1
c9daa218,10,16,15.39974217,81.95429349,16,12,89.39959615,7,4,Low,Basic,3,1,0
3dd4e6ea,11,22,21.28363464,0.890049749,7,8,80.25890163,5,3,Medium,Premium,1,7,0
4d9b5838,14,3,19.0733298,15.22192679,1,8,80.01546363,5,3,Medium,Basic,3,6,0
bb5a59c6,8,7,16.50387097,51.0855119,7,8,71.82862231,3,2,High,Basic,4,5,0
6b0386ec,8,1,18.41010669,42.87588319,10,16,70.44442721,3,5,Low,Basic,3,6,1
05619f96,22,23,14.70262954,26.31253719,3,9,64.08056834,1,4,Medium,Basic,2,2,0
1fd1661b,2,10,11.83719558,430.8502601,10,16,80.99726427,0,4,Low,Basic,3,0,1
83cd8bef,13,16,17.3256693,20.97236531,2,7,57.72099698,1,4,High,Basic,7,4,0
91b4f72c,3,17,13.55046911,16.52084365,13,12,64.56103651,3,4,High,Basic,1,5,0
bae812db,3,27,17.76010376,9.70222761,1,13,74.39895394,5,5,High,Basic,2,6,0
6f235722,2,12,13.58112642,26.90939838,15,13,62.96610382,5,5,High,Basic,2,4,1
41d83125,6,20,12.15430047,83.04280629,14,9,73.95167107,10,3,Medium,Basic,2,7,0
8407f7a4,9,1,17.25496389,192.8031189,19,15,92.25553328,5,4,Medium,Premium,0,7,1
ef4519b8,5,14,17.6204327,200.0725988,2,12,62.21478812,1,5,Low,Premium,3,4,1
8511d946,1,3,16.67250096,26.37772156,11,11,83.03740749,7,5,Low,Basic,2,4,0
b87e16dd,12,29,18.2675793,14.58440743,7,11,63.94336219,3,5,Medium,Premium,2,6,1
968489a8,3,19,15.31147323,63.48146823,23,9,66.67811315,4,5,Low,Basic,3,0,1
9824776,6,10,15.89553785,142.9719644,4,13,68.01802158,6,5,Low,Basic,2,4,0
b8a2d6f7,22,22,17.47004671,3.455880753,16,16,81.78316456,2,5,Low,Basic,2,2,1
c1073fb4,17,8,12.90859615,16.04729243,6,8,68.30990695,2,5,Medium,Basic,1,5,0
2c1f722d,9,19,18.01143167,15.21446671,6,9,70.70082969,1,3,Medium,Basic,4,4,1
fa7ee0f0,2,22,18.19079959,232.1052058,23,10,55.19436674,4,1,Medium,Basic,5,4,1
75896b52,18,6,16.12680393,22.98971566,19,17,78.07209198,2,5,Low,Premium,3,7,1
1f28ea78,17,19,17.32348374,122.2402527,21,13,60.6533703,3,4,High,Premium,1,3,1
591935ad,4,1,12.33218616,0.182773469,24,18,77.72290871,5,5,Medium,Premium,3,1,0
0946fc95,9,8,11.78258898,32.52769225,8,9,78.55977967,3,5,Medium,Basic,1,4,0
14cac2b6,21,2,14.71866326,11.1231656,21,5,80.81764973,4,5,High,Basic,5,7,1
2fc73fec,5,10,20.26471883,143.8528241,4,9,84.71523596,3,4,Medium,Premium,2,7,1
7f4d5a1f,17,20,17.92115817,139.9319473,4,14,84.81949965,2,5,High,Premium,4,5,1
8081041d,4,19,16.52383988,42.88674056,3,18,71.59014504,4,4,Low,Premium,2,2,1
e626357d,8,29,13.27231132,15.31558786,21,8,61.70897188,3,3,High,Basic,1,0,0
84090c70,4,8,14.73744991,49.26124527,22,15,66.4040466,4,4,Low,Basic,3,6,0
5fe8c236,19,25,16.6274439,4.91262973,14,16,72.68577959,4,5,Medium,Premium,1,6,0
